id,clinic_id,vet_id,pet_id,monitorable_type,monitorable_id,file_id,field_id,value,measurement_unit_id,created_at,updated_at,metadata
1140860,693,1432,356746,App\Models\NewFileCase,518508,518508,1,"URINARE CU SANGE,",,2020-01-11 11:27:29.0,2021-12-23 01:25:52.0,
1140861,693,1432,356746,App\Models\NewFileCase,518508,518508,2,SLAB,,2020-01-11 11:27:29.0,2021-12-23 01:25:52.0,
1140862,693,1432,356746,App\Models\NewFileCase,518508,518508,3,2.6,1,2020-01-11 11:27:29.0,2024-09-26 22:38:00.0,
1140863,693,1432,356746,App\Models\NewFileCase,518508,518508,4,38.6,3,2020-01-11 11:27:29.0,2024-09-27 21:31:10.0,
1140864,693,1432,356746,App\Models\NewFileCase,518508,518508,392,CALCUL VEZICAL URINAL,,2020-01-11 11:27:29.0,2021-12-23 01:25:52.0,
1299549,693,1432,390897,App\Models\NewFileCase,546344,546344,1,"colaps cardio respirator,stare proasta de intretinere,cahexie",,2020-02-12 14:12:02.0,2021-12-23 01:25:52.0,
1299550,693,1432,390897,App\Models\NewFileCase,546344,546344,2,slab,,2020-02-12 14:12:02.0,2021-12-23 01:25:52.0,
1299551,693,1432,390897,App\Models\NewFileCase,546344,546344,3,"2,000",1,2020-02-12 14:12:02.0,2024-09-26 22:38:00.0,
1299552,693,1432,390897,App\Models\NewFileCase,546344,546344,4,38.3,3,2020-02-12 14:12:02.0,2024-09-27 21:31:10.0,
1299553,693,1432,390897,App\Models\NewFileCase,546344,546344,6,80/min,,2020-02-12 14:12:02.0,2021-12-23 01:25:52.0,
1299554,693,1432,390897,App\Models\NewFileCase,546344,546344,347,cianotice,,2020-02-12 14:12:02.0,2021-12-23 01:25:52.0,
1299555,693,1432,390897,App\Models\NewFileCase,546344,546344,362,letargic,,2020-02-12 14:12:02.0,2021-12-23 01:25:52.0,
1299556,693,1432,390897,App\Models\NewFileCase,546344,546344,349,"letargic, frecventa respiratorie accelerata,cord pocnitor,abdomen destins,plin de lichid,efectuarea radiografiei toracice",,2020-02-12 14:12:02.0,2021-12-23 01:25:52.0,
1299557,693,1432,390897,App\Models\NewFileCase,546344,546344,392,"edem pulmonar,ascita,",,2020-02-12 14:12:02.0,2021-12-23 01:25:52.0,
3014127,693,1432,542565,App\Models\NewFileCase,852368,852368,3,3,1,2020-09-19 11:35:09.0,2024-09-26 22:38:00.0,
7748989,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,1,"Scaun cu mucoasa si sange o data la cateva zile, de o luna. Nu a mai intrat in calduri de un an. Are abdomenul tare si umflat.",,2021-10-18 11:30:29.0,2021-12-23 01:25:52.0,
7749002,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,3,6,1,2021-10-18 11:30:45.0,2024-09-26 22:38:00.0,
7749005,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,4,38.5,3,2021-10-18 11:30:54.0,2024-09-27 21:31:10.0,
7749010,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,6,75,,2021-10-18 11:31:04.0,2021-12-23 01:25:52.0,
7749022,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,5,90,,2021-10-18 11:31:29.0,2021-12-23 01:25:52.0,
7749026,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,2,buna,,2021-10-18 11:31:39.0,2021-12-23 01:25:52.0,
7749027,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,504,3,,2021-10-18 11:31:39.0,2021-12-23 01:25:52.0,
7749037,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,548,Pink,,2021-10-18 11:32:49.0,2021-12-23 01:25:52.0,
7749038,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,549,Moist,,2021-10-18 11:32:49.0,2021-12-23 01:25:52.0,
7749040,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,506,,,2021-10-18 11:33:00.0,2021-12-23 01:25:52.0,
7749041,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,546,2 seconds,,2021-10-18 11:33:00.0,2021-12-23 01:25:52.0,
7749043,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,505,BAR,,2021-10-18 11:33:04.0,2021-12-23 01:25:52.0,
7749078,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,349,"Abdomen contractat si dur la palpatie, secretii vaginale de culoare maro.",,2021-10-18 11:34:59.0,2021-12-23 01:25:52.0,
7749096,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,525,,,2021-10-18 11:37:44.0,2021-12-23 01:25:52.0,
7749099,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,535,,,2021-10-18 11:38:04.0,2021-12-23 01:25:52.0,
7749100,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,541,,,2021-10-18 11:38:10.0,2021-12-23 01:25:52.0,
7749102,693,1432,1042218,App\Models\NewFileCase,1926370,1926370,543,,,2021-10-18 11:38:14.0,2021-12-23 01:25:52.0,
