id,pet_id,reminder_protocol_usage_itemable_type,reminder_protocol_name,name,administration_date,due_date
1144229,350585,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129031B01/04.24) + Nobivac RL ( A217B03/04.24),2022-10-26,
1144225,350587,HistoricalTreatment,Vaccinuri,Nobivac DHPPI ( 0129031B01/01.2024) + Nobivac RL ( A217B03/04.2024),2022-10-26,
1071406,356468,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-01-13,
1213382,356746,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129005B01/01.2024) + RL (A215B01/11.2023).,2022-08-19,
1058534,362735,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-02-08,
1058536,362735,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-08,
2525477,362754,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A01/06.24),2022-12-21,
913316,401667,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129055B01/07.24) + Nobivac RL ( A300A02/06.24),2023-03-20,
2469842,490597,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B02/04.2024).,2022-09-13,
2469904,490608,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B02/04.2024).,2022-09-13,
1058363,491420,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-01-30,
5409976,491420,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-01-31,
1058365,491441,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-01-30,
5409974,491441,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-01-31,
538095,491449,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A702B01/10.24) + Nobivac RL (A301A01/10.24),2023-08-21,
8667579,491449,HistoricalTreatment,Vaccinuri,Eurican DAPPI +LR ( F42077/09.11.2024),2024-08-12,
925533,1016086,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-03-09,
1157350,1039405,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-10-14,
1147940,1041012,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-10-22,
4440312,1041012,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-10-30,
9158750,1041012,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2024-10-26,
2688342,1045309,HistoricalTreatment,Altele,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-03-02,
